reward_pool_id,entry_index,reward_type,reward_param,reward_count,condition_group,weight,note
pool_reward_trade_cloud,1,item,item_route_rare_material,1,always_true,100,cloud market route rare goods
pool_reward_trade_cloud,2,reputation,shop_reputation,18,always_true,100,cloud market shop reputation
pool_reward_trade_redsand,1,item,item_special_huojing_fragment,1,always_true,100,redsand fire route fragment
pool_reward_trade_redsand,2,item,item_metal_xuantie,2,always_true,80,redsand rare metal
pool_reward_trade_lotus,1,item,item_special_dinghai_shenzhu_fragment,1,always_true,100,lotus water route fragment
pool_reward_trade_lotus,2,item,item_drink_helu_tangshui,2,always_true,80,lotus basin drink goods
pool_reward_trade_skyferry,1,item,item_route_rare_material,3,always_true,100,skyferry interrealm material
pool_reward_trade_skyferry,2,reputation,town_reputation,30,always_true,100,skyferry town reputation
pool_reward_trade_archive,1,item,item_yearwheel_memory_shard,1,always_true,100,archive contract memory
pool_reward_trade_archive,2,bond_exp,selected_spirits,50,always_true,80,archive route spirit insight
pool_reward_trade_thunder,1,item,item_route_rare_material,2,always_true,100,old thunder route rare caravan salvage
pool_reward_trade_thunder,2,item,item_metal_xuantie,2,always_true,90,old thunder route black metal
pool_reward_trade_thunder,3,reputation,town_reputation,24,always_true,70,old thunder route storm escort reputation
pool_reward_trial_guyu,1,item,item_med_ningshen_yulu,2,always_true,100,guyu medicine reward
pool_reward_trial_guyu,2,bond_exp,selected_spirits,80,always_true,100,guyu bond reward
pool_reward_trial_dashu,1,item,item_special_huojing_fragment,1,always_true,100,dashu fire reward
pool_reward_trial_dashu,2,bond_exp,selected_spirits,80,always_true,100,dashu bond reward
pool_reward_trial_bailu,1,item,item_gift_yunjin_lijuan,2,always_true,100,bailu gift reward
pool_reward_trial_bailu,2,bond_exp,selected_spirits,80,always_true,100,bailu bond reward
pool_reward_trial_dongzhi,1,item,item_drink_xuanxiang_lingniang,2,always_true,100,dongzhi feast reward
pool_reward_trial_dongzhi,2,bond_exp,selected_spirits,80,always_true,100,dongzhi bond reward
pool_reward_trial_dahan,1,buff,buff_winter_guard_memory,1,always_true,100,dahan guard reward
pool_reward_trial_dahan,2,bond_exp,selected_spirits,100,always_true,100,dahan bond reward
pool_reward_goal_daily_spirit,1,bond_exp,selected_spirits,20,always_true,100,daily spirit care
pool_reward_goal_weekly_exp,1,item,item_route_rare_material,1,always_true,100,weekly expedition reward
pool_reward_goal_monthly_shop,1,reputation,shop_reputation,60,always_true,100,monthly shop reward
pool_reward_goal_ecology,1,item,item_deco_ecology_monument,1,always_true,100,ecology collection reward
pool_reward_goal_trial_all,1,title,title_yearwheel_keeper,1,always_true,100,all trials reward
pool_reward_goal_rare_spirit,1,item,item_deco_spirit_codex_wall,1,always_true,100,rare spirit collection reward
pool_reward_goal_bond_first,1,cosmetic,skin_player_spirit_keeper,1,always_true,100,first max bond reward
pool_reward_goal_bond_all,1,title,title_all_spirit_family,1,always_true,100,all core spirits bond reward
