spirit_id,spirit_line_id,stage,spirit_name_key,element_type,main_role,sub_role,hunger_max,mood_max,stamina_max,work_range_x,work_range_y,work_power_base,follow_support,gift_pool_id,favorite_food_tags,model_id,anim_set_id
spirit_bucao_03,spirit_line_bucao,3,spirit_name_bucao_03,metal,workshop,shop,130,115,140,5,5,2.15,false,pool_gift_bucao_high,"rare_food|dessert",model_spirit_bucao_03,animset_spirit_bucao_03
spirit_caikuang_01,spirit_line_caikuang,1,spirit_name_caikuang_01,earth,utility,combat,100,95,100,2,2,1.00,true,pool_gift_caikuang,"nut_food|earth_food",model_spirit_caikuang_01,animset_spirit_caikuang_01
spirit_caikuang_02,spirit_line_caikuang,2,spirit_name_caikuang_02,earth,utility,combat,120,100,120,4,4,1.50,true,pool_gift_caikuang,"mineral_food|rare_food",model_spirit_caikuang_02,animset_spirit_caikuang_02
spirit_caikuang_03,spirit_line_caikuang,3,spirit_name_caikuang_03,earth,utility,combat,150,110,150,6,6,2.30,true,pool_gift_caikuang_high,"mineral_food|legend_food",model_spirit_caikuang_03,animset_spirit_caikuang_03
spirit_jieqi_01,spirit_line_jieqi,1,spirit_name_jieqi_01,water,utility,shop,90,100,90,1,1,1.00,false,pool_gift_jieqi,"tea|light_food",model_spirit_jieqi_01,animset_spirit_jieqi_01
spirit_jieqi_02,spirit_line_jieqi,2,spirit_name_jieqi_02,water,utility,farm,110,105,110,3,3,1.40,false,pool_gift_jieqi,"tea|fruit_food",model_spirit_jieqi_02,animset_spirit_jieqi_02
spirit_jieqi_03,spirit_line_jieqi,3,spirit_name_jieqi_03,water,utility,utility,140,120,140,5,5,2.10,false,pool_gift_jieqi_high,"rare_food|ritual_food",model_spirit_jieqi_03,animset_spirit_jieqi_03
spirit_meishi_01,spirit_line_meishi,1,spirit_name_meishi_01,earth,workshop,utility,95,100,95,1,1,1.00,false,pool_gift_meishi,"grain_food|sweet_food",model_spirit_meishi_01,animset_spirit_meishi_01
spirit_meishi_02,spirit_line_meishi,2,spirit_name_meishi_02,water,workshop,shop,110,105,110,2,2,1.45,false,pool_gift_meishi,"sweet_food|brew_food",model_spirit_meishi_02,animset_spirit_meishi_02
spirit_meishi_03,spirit_line_meishi,3,spirit_name_meishi_03,earth,workshop,shop,140,115,140,4,4,2.10,false,pool_gift_meishi_high,"feast_food|rare_food",model_spirit_meishi_03,animset_spirit_meishi_03
spirit_yaoyuan_01,spirit_line_yaoyuan,1,spirit_name_yaoyuan_01,wood,farm,medicine,95,100,95,2,2,1.00,true,pool_gift_yaoyuan,"herb_food|plain_food",model_spirit_yaoyuan_01,animset_spirit_yaoyuan_01
spirit_yaoyuan_02,spirit_line_yaoyuan,2,spirit_name_yaoyuan_02,wood,farm,medicine,115,105,115,4,4,1.50,true,pool_gift_yaoyuan,"herb_food|tea_food",model_spirit_yaoyuan_02,animset_spirit_yaoyuan_02
spirit_yaoyuan_03,spirit_line_yaoyuan,3,spirit_name_yaoyuan_03,wood,farm,medicine,145,120,145,6,6,2.20,true,pool_gift_yaoyuan_high,"rare_herb_food|legend_food",model_spirit_yaoyuan_03,animset_spirit_yaoyuan_03
spirit_hualing_01,spirit_line_hualing,1,spirit_name_hualing_01,wood,shop,garden,95,110,95,2,2,1.00,false,pool_gift_hualing,"flower_food|sweet_food",model_spirit_hualing_01,animset_spirit_hualing_01
spirit_hualing_02,spirit_line_hualing,2,spirit_name_hualing_02,wood,shop,garden,115,120,115,3,3,1.45,false,pool_gift_hualing,"flower_food|dessert",model_spirit_hualing_02,animset_spirit_hualing_02
spirit_hualing_03,spirit_line_hualing,3,spirit_name_hualing_03,wood,shop,garden,140,140,140,5,5,2.15,false,pool_gift_hualing_high,"rare_food|gift_food",model_spirit_hualing_03,animset_spirit_hualing_03
spirit_leizhu_01,spirit_line_leizhu,1,spirit_name_leizhu_01,wood,expedition,patrol,100,95,110,2,2,1.00,true,pool_gift_leizhu,"bamboo_food|mineral_food",model_spirit_leizhu_01,animset_spirit_leizhu_01
spirit_leizhu_02,spirit_line_leizhu,2,spirit_name_leizhu_02,wood,expedition,combat,120,105,130,4,4,1.55,true,pool_gift_leizhu,"bamboo_food|battle_food",model_spirit_leizhu_02,animset_spirit_leizhu_02
spirit_leizhu_03,spirit_line_leizhu,3,spirit_name_leizhu_03,wood,expedition,patrol,150,120,160,6,6,2.35,true,pool_gift_leizhu_high,"rare_food|thunder_food",model_spirit_leizhu_03,animset_spirit_leizhu_03
spirit_yuelian_01,spirit_line_yuelian,1,spirit_name_yuelian_01,water,garden,medicine,90,120,90,2,2,1.00,false,pool_gift_yuelian,"water_food|moon_food",model_spirit_yuelian_01,animset_spirit_yuelian_01
spirit_yuelian_02,spirit_line_yuelian,2,spirit_name_yuelian_02,water,garden,farm,110,135,110,4,4,1.40,false,pool_gift_yuelian,"tea_food|moon_food",model_spirit_yuelian_02,animset_spirit_yuelian_02
spirit_yuelian_03,spirit_line_yuelian,3,spirit_name_yuelian_03,water,garden,utility,140,160,140,6,6,2.10,false,pool_gift_yuelian_high,"rare_food|moon_food",model_spirit_yuelian_03,animset_spirit_yuelian_03
spirit_dengying_01,spirit_line_dengying,1,spirit_name_dengying_01,fire,patrol,garden,95,105,100,2,2,1.00,true,pool_gift_dengying,"warm_food|festival_food",model_spirit_dengying_01,animset_spirit_dengying_01
spirit_dengying_02,spirit_line_dengying,2,spirit_name_dengying_02,fire,patrol,shop,115,115,120,4,4,1.50,true,pool_gift_dengying,"warm_food|dessert",model_spirit_dengying_02,animset_spirit_dengying_02
spirit_dengying_03,spirit_line_dengying,3,spirit_name_dengying_03,fire,patrol,garden,145,135,150,6,6,2.25,true,pool_gift_dengying_high,"rare_food|festival_food",model_spirit_dengying_03,animset_spirit_dengying_03
spirit_shuqi_01,spirit_line_shuqi,1,spirit_name_shuqi_01,metal,shop,utility,90,110,95,1,1,1.00,false,pool_gift_shuqi,"tea|plain_food",model_spirit_shuqi_01,animset_spirit_shuqi_01
spirit_shuqi_02,spirit_line_shuqi,2,spirit_name_shuqi_02,metal,shop,utility,110,125,115,2,2,1.45,false,pool_gift_shuqi,"tea|dessert",model_spirit_shuqi_02,animset_spirit_shuqi_02
spirit_shuqi_03,spirit_line_shuqi,3,spirit_name_shuqi_03,metal,shop,utility,135,145,140,3,3,2.20,false,pool_gift_shuqi_high,"rare_food|ritual_food",model_spirit_shuqi_03,animset_spirit_shuqi_03
spirit_fengmi_01,spirit_line_fengmi,1,spirit_name_fengmi_01,wood,farm,shop,95,110,95,2,2,1.00,false,pool_gift_fengmi,"sweet_food|flower_food",model_spirit_fengmi_01,animset_spirit_fengmi_01
spirit_fengmi_02,spirit_line_fengmi,2,spirit_name_fengmi_02,wood,farm,workshop,115,125,115,4,4,1.50,false,pool_gift_fengmi,"sweet_food|fruit_food",model_spirit_fengmi_02,animset_spirit_fengmi_02
spirit_fengmi_03,spirit_line_fengmi,3,spirit_name_fengmi_03,wood,farm,shop,140,145,140,6,6,2.20,false,pool_gift_fengmi_high,"rare_food|dessert",model_spirit_fengmi_03,animset_spirit_fengmi_03
