skill_id,spirit_id,skill_name_key,skill_type,trigger_type,cooldown_sec,effect_type,effect_param_1,effect_param_2,target_rule,desc_key,fx_id
skill_caikuang_02_active,spirit_caikuang_02,skill_name_caikuang_02_active,active,manual,35,shield,20,8,player_self,skill_desc_caikuang_02_active,fx_spirit_rock_shield
skill_caikuang_03_passive,spirit_caikuang_03,skill_name_caikuang_03_passive,passive,on_enter_area,0,reveal,1,0,rare_vein_and_hidden_wall,skill_desc_caikuang_03_passive,fx_spirit_break_wall
skill_jieqi_01_passive,spirit_jieqi_01,skill_name_jieqi_01_passive,passive,on_day_end,0,forecast,1,0,next_day_weather,skill_desc_jieqi_01_passive,fx_spirit_forecast
skill_jieqi_02_passive,spirit_jieqi_02,skill_name_jieqi_02_passive,aura,on_term_change,0,term_extend,0.10,0,global_term_bonus,skill_desc_jieqi_02_passive,fx_spirit_term
skill_jieqi_03_active,spirit_jieqi_03,skill_name_jieqi_03_active,active,manual,120,term_boost,1,0,selected_term_effect,skill_desc_jieqi_03_active,fx_spirit_clock
skill_meishi_01_active,spirit_meishi_01,skill_name_meishi_01_active,active,manual,40,heal_sp,12,0,player_self,skill_desc_meishi_01_active,fx_spirit_food
skill_meishi_02_passive,spirit_meishi_02,skill_name_meishi_02_passive,passive,on_shop_sales_reach,0,reputation,1,0,food_sales,skill_desc_meishi_02_passive,fx_spirit_brew
skill_meishi_03_passive,spirit_meishi_03,skill_name_meishi_03_passive,aura,on_day_start,0,hunger_reduce,0.15,0,all_spirits,skill_desc_meishi_03_passive,fx_spirit_feast
skill_yaoyuan_01_active,spirit_yaoyuan_01,skill_name_yaoyuan_01_active,active,manual,35,heal_hp,15,0,player_self,skill_desc_yaoyuan_01_active,fx_spirit_heal
skill_yaoyuan_02_passive,spirit_yaoyuan_02,skill_name_yaoyuan_02_passive,passive,on_day_start,0,disease_reduce,0.20,0,herb_field_tiles,skill_desc_yaoyuan_02_passive,fx_spirit_cleanse
skill_yaoyuan_03_active,spirit_yaoyuan_03,skill_name_yaoyuan_03_active,active,manual,80,group_heal,30,0,nearby_allies,skill_desc_yaoyuan_03_active,fx_spirit_group_heal
skill_hualing_01_passive,spirit_hualing_01,skill_name_hualing_01_passive,passive,on_shop_open,0,customer_attract,0.05,0,flower_shelf,skill_desc_hualing_01_passive,fx_spirit_flower_bell
skill_hualing_02_passive,spirit_hualing_02,skill_name_hualing_02_passive,passive,on_work,0,display_score,0.08,0,gift_shelf,skill_desc_hualing_02_passive,fx_spirit_flower_guest
skill_hualing_03_active,spirit_hualing_03,skill_name_hualing_03_active,active,manual,90,shop_bonus,0.18,0,premium_customer_wave,skill_desc_hualing_03_active,fx_spirit_flower_crowd
skill_leizhu_01_passive,spirit_leizhu_01,skill_name_leizhu_01_passive,passive,on_expedition_start,0,risk_reduce,0.05,0,storm_route,skill_desc_leizhu_01_passive,fx_spirit_thunder_leaf
skill_leizhu_02_active,spirit_leizhu_02,skill_name_leizhu_02_active,active,manual,45,combat,1.30,4,enemy_line,skill_desc_leizhu_02_active,fx_spirit_thunder_dash
skill_leizhu_03_passive,spirit_leizhu_03,skill_name_leizhu_03_passive,aura,on_expedition_start,0,perfect_rate_up,0.12,0,trade_route_team,skill_desc_leizhu_03_passive,fx_spirit_thunder_guard
skill_yuelian_01_passive,spirit_yuelian_01,skill_name_yuelian_01_passive,passive,on_night_start,0,mood_restore,4,0,all_spirits,skill_desc_yuelian_01_passive,fx_spirit_moon_dew
skill_yuelian_02_passive,spirit_yuelian_02,skill_name_yuelian_02_passive,aura,on_day_end,0,hunger_reduce,0.08,0,garden_spirits,skill_desc_yuelian_02_passive,fx_spirit_moon_pool
skill_yuelian_03_active,spirit_yuelian_03,skill_name_yuelian_03_active,active,manual,120,night_event_boost,0.15,0,moon_pond_area,skill_desc_yuelian_03_active,fx_spirit_moon_gate
skill_dengying_01_passive,spirit_dengying_01,skill_name_dengying_01_passive,passive,on_night_start,0,night_risk_reduce,0.08,0,farm_and_town,skill_desc_dengying_01_passive,fx_spirit_lamp_small
skill_dengying_02_passive,spirit_dengying_02,skill_name_dengying_02_passive,passive,on_festival,0,festival_customer_up,0.10,0,winter_shop,skill_desc_dengying_02_passive,fx_spirit_lamp_line
skill_dengying_03_active,spirit_dengying_03,skill_name_dengying_03_active,active,manual,100,hidden_reveal,1,0,night_hidden_entry,skill_desc_dengying_03_active,fx_spirit_lamp_city
skill_shuqi_01_passive,spirit_shuqi_01,skill_name_shuqi_01_passive,passive,on_day_start,0,order_forecast,1,0,next_order_pool,skill_desc_shuqi_01_passive,fx_spirit_page_turn
skill_shuqi_02_passive,spirit_shuqi_02,skill_name_shuqi_02_passive,passive,on_shop_close,0,stock_warning,1,0,low_stock_items,skill_desc_shuqi_02_passive,fx_spirit_account_book
skill_shuqi_03_active,spirit_shuqi_03,skill_name_shuqi_03_active,active,manual,120,season_score_bonus,0.08,0,shop_settlement,skill_desc_shuqi_03_active,fx_spirit_golden_book
skill_fengmi_01_passive,spirit_fengmi_01,skill_name_fengmi_01_passive,passive,on_day_start,0,pollination,0.05,0,orchard_tiles,skill_desc_fengmi_01_passive,fx_spirit_honey_small
skill_fengmi_02_passive,spirit_fengmi_02,skill_name_fengmi_02_passive,passive,on_work,0,dessert_quality,0.08,0,sweet_recipe,skill_desc_fengmi_02_passive,fx_spirit_honey_brew
skill_fengmi_03_active,spirit_fengmi_03,skill_name_fengmi_03_active,active,manual,90,customer_satisfaction,0.15,0,dessert_customer,skill_desc_fengmi_03_active,fx_spirit_honey_feast
