item_id,item_name_key,item_type,rarity,stack_limit,sell_price_base,buy_price_base,quality_support,freshness_days,icon_id,desc_key,tags
crop_yuewen_huanggua,item_name_crop_yuewen_huanggua,crop,2,99,118,0,true,3,icon_crop_huanggua,desc_crop_yuewen_huanggua,"crop|water_food|summer|refreshing"
crop_hedeng_lianzi,item_name_crop_hedeng_lianzi,crop,3,99,210,0,true,5,icon_crop_hedeng_lianzi,desc_crop_hedeng_lianzi,"crop|water_food|festival|summer"
crop_shuangtang_nangua,item_name_crop_shuangtang_nangua,crop,2,99,95,0,true,4,icon_crop_nangua,desc_crop_shuangtang_nangua,"crop|dessert|autumn|home"
crop_shanli_lingshu,item_name_crop_shanli_lingshu,crop,1,99,72,0,true,4,icon_crop_lingshu,desc_crop_shanli_lingshu,"crop|staple|autumn|storage"
crop_qiusui_zhima,item_name_crop_qiusui_zhima,crop,2,99,168,0,true,5,icon_crop_zhima,desc_crop_qiusui_zhima,"crop|oil|autumn|refined"
crop_xuanxiang_dao,item_name_crop_xuanxiang_dao,crop,3,99,190,0,true,6,icon_crop_xuanxiang_dao,desc_crop_xuanxiang_dao,"crop|brew|premium|autumn"
crop_bailu_yiner,item_name_crop_bailu_yiner,crop,3,99,235,0,true,5,icon_crop_bailu_yiner,desc_crop_bailu_yiner,"crop|dessert|medicine|autumn"
crop_xuewen_luoman,item_name_crop_xuewen_luoman,crop,1,99,78,0,true,4,icon_crop_luoman,desc_crop_xuewen_luoman,"crop|winter_food|winter|plain"
crop_hanyu_baicai,item_name_crop_hanyu_baicai,crop,2,99,138,0,true,4,icon_crop_hanyu_baicai,desc_crop_hanyu_baicai,"crop|winter_food|water|winter"
crop_binglu_bohe,item_name_crop_binglu_bohe,crop,2,99,172,0,true,5,icon_crop_bohe,desc_crop_binglu_bohe,"crop|medicine|cooling|winter"
crop_xuehuo_lingjiang,item_name_crop_xuehuo_lingjiang,crop,2,99,150,0,true,5,icon_crop_lingjiang,desc_crop_xuehuo_lingjiang,"crop|medicine|fire|winter"
crop_xuanshuang_lanmei,item_name_crop_xuanshuang_lanmei,crop,3,99,260,0,true,5,icon_crop_lanmei,desc_crop_xuanshuang_lanmei,"crop|dessert|premium|winter"
crop_dongcang_yaoshen,item_name_crop_dongcang_yaoshen,crop,4,99,390,0,true,6,icon_crop_yaoshen,desc_crop_dongcang_yaoshen,"crop|herb|legend|winter"
item_material_clean_water,item_name_clean_water,material,1,99,4,8,false,0,icon_water_clean,desc_water_clean,"material|water"
item_material_oil_base,item_name_oil_base,material,1,99,12,24,false,0,icon_oil_base,desc_oil_base,"material|kitchen"
item_material_cu_mianfen,item_name_cu_mianfen,material,1,99,46,0,true,0,icon_mianfen,desc_mianfen,"material|flour"
item_material_zhima_lingyou,item_name_zhima_lingyou,material,2,99,235,0,true,0,icon_lingyou,desc_lingyou,"material|oil"
item_food_bailuobo_tang,item_name_food_bailuobo_tang,food,1,99,30,0,true,3,icon_food_tang,desc_food_tang,"food|recover_sp"
item_food_qingchao_baicai,item_name_food_qingchao_baicai,food,1,99,48,0,true,3,icon_food_qingchao_baicai,desc_food_qingchao_baicai,"food|staple|fresh_food|vegetable"
item_food_liangban_lingqin,item_name_food_liangban_lingqin,food,1,99,68,0,true,3,icon_food_liangban_lingqin,desc_food_liangban_lingqin,"food|refreshing|water_food|food_cold|clean_food|cooling"
item_food_qingbo_yukuai,item_name_food_qingbo_yukuai,food,2,99,128,0,true,3,icon_food_qingbo_yukuai,desc_food_qingbo_yukuai,"food|water_food|fish|refreshing|cooling|fresh_food"
item_food_lingchi_sanxian_geng,item_name_food_lingchi_sanxian_geng,food,2,99,196,0,true,3,icon_food_lingchi_sanxian,desc_food_lingchi_sanxian_geng,"food|water_food|fish|refreshing|cooling|fresh_food|summer"
item_food_plain_ration,item_name_food_plain_ration,food,1,99,36,0,true,6,icon_food_plain_ration,desc_food_plain_ration,"food|portable_food|staple|plain"
item_food_mianbing,item_name_food_mianbing,food,1,99,72,0,true,3,icon_food_mianbing,desc_food_mianbing,"food|staple"
item_food_lajiang,item_name_food_lajiang,food,1,99,78,0,true,5,icon_food_lajiang,desc_food_lajiang,"food|spicy"
item_food_bazhen_lingshan,item_name_food_bazhen_lingshan,food,4,20,520,0,true,4,icon_food_bazhen,desc_food_bazhen,"food|feast|premium"
item_drink_lingcha,item_name_drink_lingcha,drink,2,50,125,0,true,4,icon_drink_lingcha,desc_drink_lingcha,"drink|tea"
item_drink_helu_tangshui,item_name_drink_helu_tangshui,drink,2,50,230,0,true,4,icon_drink_helu,desc_drink_helu,"drink|summer"
item_drink_liuyun_niang,item_name_drink_liuyun_niang,drink,3,50,210,0,true,6,icon_drink_liuyun,desc_drink_liuyun,"drink|brew"
item_drink_xuanxiang_lingniang,item_name_drink_xuanxiang_lingniang,drink,4,20,360,0,true,8,icon_drink_xuanxiang,desc_drink_xuanxiang,"drink|premium|festival"
item_med_zhixue_san,item_name_med_zhixue_san,medicine,2,50,95,0,true,6,icon_med_zhixue,desc_med_zhixue,"medicine|heal_hp"
item_med_huiyuan_san,item_name_med_huiyuan_san,medicine,3,50,160,0,true,6,icon_med_huiyuan,desc_med_huiyuan,"medicine|heal_sp"
item_med_ningshen_yulu,item_name_med_ningshen_yulu,medicine,4,20,330,0,true,8,icon_med_ningshen,desc_med_ningshen,"medicine|premium"
item_med_chiyan_huxinwan,item_name_med_chiyan_huxinwan,medicine,4,20,460,0,true,8,icon_med_huxin,desc_med_huxin,"medicine|fire"
item_med_jiuzhuan_xumingdan,item_name_med_jiuzhuan_xumingdan,medicine,5,10,880,0,true,10,icon_med_jiuzhuan,desc_med_jiuzhuan,"medicine|legend"
item_cloth_yunsi_bujuan,item_name_cloth_yunsi_bujuan,material,2,50,175,0,true,0,icon_cloth_yunsi,desc_cloth_yunsi,"cloth|craft"
item_gift_yunjin_lijuan,item_name_gift_yunjin_lijuan,gift,4,20,430,0,true,0,icon_gift_yunjin,desc_gift_yunjin,"gift|premium|festival"
item_tool_copper_hoe,item_name_tool_copper_hoe,tool,2,1,0,400,false,0,icon_tool_hoe_copper,desc_tool_hoe_copper,"tool|hoe|copper"
item_tool_fishing_net,item_name_tool_fishing_net,tool,2,1,0,180,false,0,icon_tool_fishing_net,desc_tool_fishing_net,"tool|fishing|water"
item_fish_spiritling,item_name_fish_spiritling,material,2,99,58,0,true,2,icon_fish_spiritling,desc_fish_spiritling,"fish|water_food|pond|fresh"
item_wood_basic,item_name_wood_basic,material,1,999,5,10,false,0,icon_wood_basic,desc_wood_basic,"wood|build"
item_stone_basic,item_name_stone_basic,material,1,999,5,10,false,0,icon_stone_basic,desc_stone_basic,"stone|build"
item_ore_copper,item_name_ore_copper,material,1,999,12,24,false,0,icon_ore_copper,desc_ore_copper,"ore|metal|copper"
item_ore_iron,item_name_ore_iron,material,1,999,18,36,false,0,icon_ore_iron,desc_ore_iron,"ore|metal|iron"
item_ore_iron_raw,item_name_ore_iron_raw,material,1,999,10,20,false,0,icon_ore_iron,desc_ore_iron,"ore|metal"
item_stone_spirit_shard,item_name_stone_spirit_shard,material,2,999,36,0,false,0,icon_stone_spirit_shard,desc_stone_spirit_shard,"stone|spirit|craft"
item_coal_raw,item_name_coal_raw,material,1,999,16,30,false,0,icon_coal_raw,desc_coal_raw,"coal|fuel|workshop"
item_gem_smoky,item_name_gem_smoky,material,2,99,75,0,false,0,icon_gem_smoky,desc_gem_smoky,"gem|rare|mine"
item_tool_fragment_old,item_name_tool_fragment_old,material,2,99,42,0,false,0,icon_tool_fragment_old,desc_tool_fragment_old,"tool|fragment|relic"
item_metal_xuantie,item_name_metal_xuantie,material,3,999,50,100,false,0,icon_metal_xuantie,desc_metal_xuantie,"metal|rare"
item_cloth_liuyunsi,item_name_cloth_liuyunsi,material,2,999,35,70,false,0,icon_cloth_liuyunsi,desc_cloth_liuyunsi,"cloth|fiber"
item_gold_generic,item_name_gold_generic,currency,0,999999,1,1,false,0,icon_gold_generic,desc_gold_generic,"currency|gold"
item_water_supply_relief,item_name_water_supply_relief,special,3,99,0,0,false,0,icon_water_supply_relief,desc_water_supply_relief,"quest|relief|water|drought"
item_special_lingmai_shuishi_1,item_name_special_lingmai_shuishi_1,special,4,1,0,0,false,0,icon_special_lingmai_shuishi_1,desc_special_lingmai_shuishi_1,"special|array|quest|chapter1|pivot_stone"
item_spirit_core_4,item_name_spirit_core_4,special,5,4,0,0,false,0,icon_spirit_core_4,desc_spirit_core_4,"special|array|quest|solar_core"
item_special_huojing,item_name_special_huojing,special,5,10,0,0,false,0,icon_special_huojing,desc_special_huojing,"special|fire|quest"
item_special_dinghai_shenzhu,item_name_special_dinghai_shenzhu,special,5,10,0,0,false,0,icon_special_dinghai,desc_special_dinghai,"special|water|quest"
item_special_baicao_mulu,item_name_special_baicao_mulu,special,5,10,0,0,false,0,icon_special_baicao_mulu,desc_special_baicao_mulu,"special|herb|quest|baizhi"
item_seed_wannian_pantao,item_name_seed_wannian_pantao,seed,5,1,0,0,false,0,icon_seed_pantao,desc_seed_pantao,"seed|legend|quest"
item_crop_wannian_pantao,item_name_crop_wannian_pantao,crop,5,5,2000,0,true,1,icon_crop_pantao,desc_crop_pantao,"crop|legend|quest"
item_special_huojing_fragment,item_name_special_huojing_fragment,special,4,20,0,0,false,0,icon_special_huojing_frag,desc_special_huojing_fragment,"special|fire|year2"
item_special_dinghai_shenzhu_fragment,item_name_special_dinghai_shenzhu_fragment,special,4,20,0,0,false,0,icon_special_dinghai_frag,desc_special_dinghai_fragment,"special|water|year2"
item_route_rare_material,item_name_route_rare_material,material,4,99,180,0,false,0,icon_route_rare_material,desc_route_rare_material,"material|trade|rare"
item_yearwheel_memory_shard,item_name_yearwheel_memory_shard,special,5,99,0,0,false,0,icon_yearwheel_memory,desc_yearwheel_memory_shard,"special|memory|year2"
item_trade_cloud_box,item_name_trade_cloud_box,material,4,50,360,0,true,0,icon_trade_cloud_box,desc_trade_cloud_box,"trade|cloud|year2|premium"
item_ritual_fire_core,item_name_ritual_fire_core,special,5,20,0,0,false,0,icon_ritual_fire_core,desc_ritual_fire_core,"ritual|fire|year2"
item_build_beam_hardwood,item_name_build_beam_hardwood,material,3,99,145,0,false,0,icon_build_beam_hardwood,desc_build_beam_hardwood,"wood|build|town|year2"
crop_water_lotus_seed,item_name_crop_water_lotus_seed,crop,3,99,188,0,true,3,icon_crop_water_lotus_seed,desc_crop_water_lotus_seed,"crop|water_food|pond|year2"
item_patrol_ration,item_name_patrol_ration,food,3,99,132,0,true,5,icon_patrol_ration,desc_patrol_ration,"food|patrol|guard|year2"
item_tool_signal_flare,item_name_tool_signal_flare,tool,3,20,260,0,false,0,icon_tool_signal_flare,desc_tool_signal_flare,"tool|patrol|fire|year2"
item_tea_story_blend,item_name_tea_story_blend,drink,3,50,245,0,true,5,icon_tea_story_blend,desc_tea_story_blend,"drink|tea|story|year2"
item_food_festival_mooncake,item_name_food_festival_mooncake,food,3,50,280,0,true,6,icon_food_festival_mooncake,desc_food_festival_mooncake,"food|festival|dessert|year2"
item_gift_archive_scroll,item_name_gift_archive_scroll,gift,4,20,420,0,false,0,icon_gift_archive_scroll,desc_gift_archive_scroll,"gift|archive|festival|year2"
item_deco_ecology_monument,item_name_deco_ecology_monument,building,5,1,0,0,false,0,icon_deco_ecology_monument,desc_deco_ecology_monument,"deco|ecology|achievement"
item_deco_spirit_codex_wall,item_name_deco_spirit_codex_wall,building,5,1,0,0,false,0,icon_deco_spirit_codex_wall,desc_deco_spirit_codex_wall,"deco|spirit|achievement"
