text_key,text_type,zh_cn,note
desc_cloth_liuyunsi,desc,轻而韧的织料，阿檀说拿它做帘帐和隔间，精怪夜里才睡得安稳。,第三章建材描述
building_name_spirit_manor,name,百怪大院,第三章建筑
order_name_demo_0002,order_name,渠边清口单,修渠后Demo订单
order_name_qinghe_water_fresh_return_0001,order_name,青禾水鲜回订单,灵池水鲜固定客群订单
spirit_name_luobo_01,name,大胖萝卜精,核心精怪名
spirit_name_luobo_02,name,萝卜药童,核心精怪名
spirit_name_luobo_03,name,土行太岁,核心精怪名
spirit_name_lajiao_01,name,爆弹辣椒怪,核心精怪名
spirit_name_lajiao_02,name,灶神小福精,核心精怪名
spirit_name_lajiao_03,name,三昧火麒麟,核心精怪名
spirit_name_suan_01,name,大蒜剑客,核心精怪名
spirit_name_suan_02,name,独孤九蒜,核心精怪名
spirit_name_suan_03,name,剑仙大蒜尊,核心精怪名
spirit_name_shui_01,name,浮萍鲤童,核心精怪名
spirit_name_shui_02,name,引泉河伯,核心精怪名
spirit_name_shui_03,name,沧波玄鼋,核心精怪名
spirit_name_yunshu_01,name,葫芦搬山怪,核心精怪名
spirit_name_yunshu_02,name,百纳小力士,核心精怪名
spirit_name_yunshu_03,name,乾坤驮兽,核心精怪名
spirit_name_bucao_01,name,棉云团雀,核心精怪名
spirit_name_bucao_02,name,流霞织女蛛,核心精怪名
spirit_name_bucao_03,name,云锦天工娘,核心精怪名
spirit_name_caikuang_01,name,石栗地精,核心精怪名
spirit_name_caikuang_02,name,玄岩匠灵,核心精怪名
spirit_name_caikuang_03,name,裂岳金猊,核心精怪名
spirit_name_jieqi_01,name,露珠书童,核心精怪名
spirit_name_jieqi_02,name,司时灵鹿,核心精怪名
spirit_name_jieqi_03,name,二十四气灵君,核心精怪名
spirit_name_meishi_01,name,糯米团灵,核心精怪名
spirit_name_meishi_02,name,酒酿小仙,核心精怪名
spirit_name_meishi_03,name,八珍食梦貘,核心精怪名
spirit_name_yaoyuan_01,name,苔瓶药童,核心精怪名
spirit_name_yaoyuan_02,name,百草听风兽,核心精怪名
spirit_name_yaoyuan_03,name,回春玄鹿,核心精怪名
npc_name_xubo,name,许伯,镇长
npc_name_zhang_tieshan,name,张铁山,铁匠
npc_name_baizhi,name,白芷,医馆医女
npc_name_lu_sanxiao,name,陆三笑,说书人
npc_name_hu_sihai,name,胡四海,游商
npc_name_atan,name,阿檀,木匠
npc_name_qinghe,name,青禾,渔女
npc_name_shen_gudeng,name,沈孤灯,剑修
npc_name_system,name,系统,系统占位
item_name_tool_fishing_net,name,引水鱼网,青禾二心奖励道具
desc_tool_fishing_net,desc,青禾改过结扣的细网，适合在水路刚活的时候辨鱼试流。,青禾关系奖励
building_name_fishpond_lv1,name,灵池浅塘,清禾池塘建筑
item_name_fish_spiritling,name,灵鳞小鱼,清禾池塘产物
desc_fish_spiritling,desc,刚认回水口的细鳞灵鱼，肉薄味清，最适合拿来做第一道水鲜。,清禾池塘产物描述
item_name_food_qingbo_yukuai,name,清波鱼脍,清禾池塘菜品
desc_food_qingbo_yukuai,desc,灵鳞小鱼配露珠芹快手成脍，入口先是凉清，后面才带一点回甘水气。,清禾池塘菜品描述
recipe_name_water_crop_intro,recipe_name,清波鱼脍,清禾池塘奖励配方
item_name_food_lingchi_sanxian_geng,name,灵池三鲜羹,灵池水鲜升级菜品
desc_food_lingchi_sanxian_geng,desc,灵鳞小鱼、露珠芹和月纹黄瓜熬成的清羹，汤面浮着淡淡水纹，适合把清波鱼脍后的熟客留下来。,灵池水鲜升级菜品描述
recipe_name_lingchi_sanxian_geng,recipe_name,灵池三鲜羹,灵池水鲜升级配方
event_name_main_0001,name,落脚之地开启,事件名
event_name_main_0002,name,杂草清理完成,事件名
event_name_main_0003,name,第一次收成异动,事件名
event_name_main_0004,name,凡仙镇入口开启,事件名
event_name_main_0005,name,首只精怪诞生,事件名
event_name_main_0102,name,灵井修复后续,事件名
event_name_main_0103,name,惊蛰虫害爆发,事件名
event_name_main_0104,name,铜锄完成引桥线,事件名
event_name_main_0106,name,断桥修复完成,事件名
event_name_main_0202,name,旧铺教学完成,事件名
event_name_main_0203,name,胡四海来访,事件名
event_name_main_0205,name,药谷入口显现,事件名
event_name_main_0207,name,百草母露入手,事件名
event_name_main_0301,name,百怪大院蓝图,事件名
event_name_main_0303,name,百怪大院建成,事件名
event_name_main_0306,name,炽砂遗迹开启,事件名
event_name_main_0307,name,炽炎火精归位,事件名
event_name_main_0401,name,九曜大旱降临,事件名
event_name_main_0404,name,最终巢穴开启,事件名
event_name_main_0405,name,终章决战收束,事件名
event_name_term_jingzhe_01,name,惊蛰节气警报,事件名
event_name_term_guyu_01,name,谷雨精怪增益,事件名
event_name_term_bailu_01,name,白露采露开启,事件名
event_name_term_shuangjiang_01,name,霜降预警,事件名
event_name_term_dongzhi_01,name,冬至节庆开启,事件名
event_name_shop_0001,name,店铺营业教学,事件名
event_name_shop_0003,name,店铺二级解锁,事件名
event_name_spirit_0001,name,精怪系统解锁,事件名
event_name_spirit_0004,name,精怪低情绪罢工,事件名
event_name_spirit_0005,name,精怪长期罢工逃离,事件名
quest_name_main_0001,quest_name,落脚之地,序章任务
quest_name_main_0002,quest_name,凡仙镇来路,序章任务
quest_name_main_0101,quest_name,灵井回声,第一章主线
quest_name_main_0102,quest_name,铜火初鸣,第一章主线
quest_name_main_0103,quest_name,断桥旧木,第一章主线
quest_name_main_0201,quest_name,旧铺开门,第二章主线
quest_name_main_0202,quest_name,白芷之求,第二章主线
quest_name_main_0301,quest_name,百怪有院,第三章主线
quest_name_main_0302,quest_name,商会来客,第三章主线
quest_name_main_0401,quest_name,九曜大旱,第四章主线
quest_name_main_0402,quest_name,二十四枢,第四章主线
quest_name_main_0403,quest_name,蟠桃大宴,第四章主线
quest_main_0001_desc,quest_desc,清理草庐前的杂物，整理第一块灵田，给自己找个能活下去的落脚处。,序章说明
quest_main_0002_desc,quest_desc,第一次走进凡仙镇，认识这里的人，也看看这地方是否容得下你。,序章说明
quest_main_0101_desc,quest_desc,修复洞天灵井，为后续种植和洞天复苏打下基础。,第一章说明
quest_main_0102_desc,quest_desc,在惊蛰虫害中保住第一批田地，并打造更可靠的铜制工具。,第一章说明
quest_main_0103_desc,quest_desc,收集修桥材料，接通后山与矿洞，让镇子重新活起来。,第一章说明
quest_main_0201_desc,quest_desc,接手镇东旧铺，开始真正意义上的经营生活。,第二章说明
quest_main_0202_desc,quest_desc,为白芷培育高品质石斛，救治伤者，也证明洞天灵植的价值。,第二章说明
quest_main_0301_desc,quest_desc,建成百怪大院，让越来越多的精怪真正成为洞天共同体的一员。,第三章说明
quest_main_0302_desc,quest_desc,完成门派采办首单，追入炽砂遗迹，击败赤魇蝎后并带回能归阵的炽炎火精。,第三章说明
quest_main_0401_desc,quest_desc,九曜大旱来临，先保住凡仙镇，再想办法救回天时。,第四章说明
quest_main_0402_desc,quest_desc,收集重建节气大阵所需的关键枢石、火精与神珠。,第四章说明
quest_main_0403_desc,quest_desc,击败噬灵螟母，建成节气大阵，培育万年蟠桃，迎来最终盛宴。,第四章说明
dialogue_system_default_001,dialogue,愿你今日的每一分劳作，都能换来明日的收成。,系统默认语
dialogue_main_0001_001,dialogue,又白跑一趟。说是收灵谷，结果连摊位都轮不上我。,序章夜路
dialogue_main_0001_012,dialogue,新任务已开始：落脚之地。,序章系统提示
dialogue_main_0002_001,dialogue,这是哪里……,草庐初醒
dialogue_main_0002_012,dialogue,获得目标：整理第一块灵田并播种白萝卜。,草庐系统提示
dialogue_main_0003_001,dialogue,总算有点像样的收成了。,第一只精怪前句
dialogue_main_0003_007,dialogue,咕！,萝卜精送礼
dialogue_main_0003_012,dialogue,精怪系统开启。可为精怪安排浇水、巡田与随行。,精怪解锁
dialogue_main_0101_001,dialogue,站住。外乡人，从哪儿来的？,许伯初见
dialogue_main_0101_002,dialogue,山那头。说具体点，就是刚从穷里爬出来。,玩家回答
dialogue_main_0101_010,dialogue,先去镇里转转吧。铁匠、医馆，你都能见见。至于能不能留下，以后再说。,许伯放行
dialogue_main_0102_001,dialogue,这锄头你也好意思拿出来？刃都卷成狗啃了。,张铁山初见
dialogue_main_0102_004,dialogue,那我该换什么？,玩家请教
dialogue_main_0102_011,dialogue,行。铜锄给你按半价算。不是我心软，是不想看一把破锄头耽误活。,铜锄解锁
dialogue_main_0103_001,dialogue,若是看伤，先坐。若是买药，柜上有价签。,白芷初见
dialogue_main_0103_002,dialogue,我不是来砍价的。我想问，这些药草你收不收。,玩家问药
dialogue_main_0103_011,dialogue,好。等你下一批货来，我再告诉你具体要什么。,白芷认可
dialogue_main_0104_001,dialogue,不对，昨晚还好好的。,惊蛰虫害
dialogue_main_0104_005,dialogue,我就猜到你这边要出事。镇东那几块菜地也遭了。,许伯到场
dialogue_main_0104_012,dialogue,惊蛰虫害开启。请使用巡田、驱虫与节气防护设施降低损失。,节气提示
dialogue_main_0105_006,dialogue,这桥断了两年。有人说它只是桥，有人说断的是出路。,断桥收束
dialogue_main_0105_009,dialogue,少装。没几个人能在这镇子里真把活做完。,张铁山认同
dialogue_main_0105_012,dialogue,你早就不只是借住的人了。凡仙镇如今，有你的一份。,第一章结尾
dialogue_shop_opening_001,dialogue,桥通了，人也慢慢多起来了。这间旧铺子，你还记得吧。,旧铺开门
dialogue_final_array_001,dialogue,我守的不是秘密，是机会。如今机会到了，我也该把名字从故事里拿出来了。,陆三笑揭晓
dialogue_final_banquet_001,dialogue,这桌宴不是庆功，是谢天时，也谢你把这口气接了回来。,许伯大宴开席
dialogue_final_banquet_002,dialogue,药棚那边今晚终于没人排队哭了。这个味道，我想让他们多记几年。,白芷大宴
dialogue_final_banquet_003,dialogue,账我算过了，亏得很厉害。但这回吧，亏得心里痛快。,胡四海大宴
dialogue_final_banquet_004,dialogue,二十四节归位，洞天归人。你以后不必只做守阵的人，也可以做过日子的人。,陆三笑大宴
dialogue_final_banquet_005,dialogue,主线完成。第二年沙盒、同住后日谈、跨界商路与自由造景开启。,结局系统提示
dialogue_baizhi_order_visit_001,dialogue,我刚从许伯那边听说，你把第一张单稳稳交掉了。,白芷首单来访
dialogue_baizhi_order_visit_002,dialogue,许伯连这都告诉你了？你是来看旧铺，还是来看我这批货？,玩家接话
dialogue_baizhi_order_visit_003,dialogue,都看。镇上缺药，也缺能把东西做得稳、做得净的人。你这批货，我看得出来。,白芷认可
dialogue_baizhi_order_visit_004,dialogue,等你手头忙完，来医馆找我。我想托你种一批铁皮石斛，不是为了卖，是为了救人。,白芷引出石斛委托
dialogue_baizhi_favor_2_002,dialogue,也就是说，这次不是“能交货”就行。,白芷石斛之求承接
dialogue_baizhi_favor_2_003,dialogue,对。我不是为医馆囤药，是为把人救回来。,白芷石斛之求承接
dialogue_baizhi_favor_2_004,dialogue,明白。我宁可晚一天，也不糊弄。,白芷石斛之求承接
dialogue_baizhi_favor_2_005,dialogue,那我等你的石斛。等这件事过去，我会把药园真正教给你。,白芷石斛之求承接
dialogue_baizhi_favor_2_006,dialogue,好，这次我不当掌柜，我当供命的人。,白芷石斛之求承接
dialogue_main_0205_001,dialogue,等一下。你闻见了吗？不是药香，是谷口的瘴雾在退。,药谷入口显现
dialogue_main_0205_002,dialogue,石斛的药气压住它了？,药谷入口显现
dialogue_main_0205_003,dialogue,只压住了一线，够我们进去，也够里面的东西注意到我们。,药谷入口显现
dialogue_main_0205_004,dialogue,去之前把止血散备好。雾隐药谷不是采药地，是病根躲着的地方。,药谷入口显现
dialogue_main_0205_005,dialogue,明白。先备药，再进谷，把母露带回来。,药谷入口显现
dialogue_main_0207_001,dialogue,这就是百草母露？看着轻，拿在手里却像压着一口泉。,药谷收束
dialogue_main_0207_002,dialogue,别说话，先把东西给我。,药谷收束
dialogue_main_0207_003,dialogue,够了。有这个，药能成。,药谷收束
dialogue_main_0207_004,dialogue,那几个人能保住？,药谷收束
dialogue_main_0207_005,dialogue,能。你这趟，不只是帮了我，是替他们把命接回来了。,药谷收束
dialogue_main_0207_006,dialogue,你这掌柜，做生意做到要跟藤母抢命，真是少见。,药谷收束
dialogue_main_0207_007,dialogue,等医馆这边稳住，我会把真正的药园法教给你。下一步，该让精怪们也有个能安心歇脚的院子了。,药谷收束
dialogue_main_0301_001,dialogue,精怪们在院里追逐，水桶、木箱、菜篮乱成一团。,百怪有院入口
dialogue_main_0301_002,dialogue,你看吧，我早说过，光靠几张草垫子是撑不住的。,百怪有院入口
dialogue_main_0301_003,dialogue,我本来只是想多养几只帮忙，没想到先把院子挤爆了。,百怪有院入口
dialogue_main_0301_004,dialogue,它们不是工具。住得乱、吃得乱，心情自然也会乱。你要的是产线，也得先给它们一个像家的地方。,百怪有院入口
dialogue_main_0301_005,dialogue,咕！叽！呀！,百怪有院入口
dialogue_main_0301_006,dialogue,百怪大院……不只是宿舍，是让整个洞天运转起来的骨架。,百怪有院入口
dialogue_main_0301_007,dialogue,对。谁住哪、谁干哪份活、谁和谁合得来，都是要算的。你往后管的，不只是地，是一个小世界。,百怪有院入口
dialogue_main_0301_008,dialogue,那就建。木料、玄铁、布料，我去备。,百怪有院入口
dialogue_main_0301_009,dialogue,等院子立起来，你会发现，忙不是坏事。有人气，地方才像活的。,百怪有院入口
dialogue_main_0301_010,dialogue,百怪大院任务开启：可解锁岗位总览、宿舍分配与情绪管理。,百怪有院入口
dialogue_main_0303_001,dialogue,门楣稳了，隔间也能透风。今晚精怪们终于不用挤在货筐旁边睡了。,百怪大院建成
dialogue_main_0303_002,dialogue,院子一建起来，连工坊声音都像有了节拍。,百怪大院建成
dialogue_main_0303_003,dialogue,往后看岗位，不只看谁最快，也要看谁累了、谁合拍。会安排，洞天才会自己转起来。,百怪大院建成
dialogue_main_0303_004,dialogue,岗位总览开启：可查看宿舍状态、心情压力与精怪岗位分布。,百怪大院建成
dialogue_xubo_default_001,dialogue,日子要一锤一锤敲实，急不得。,许伯默认语
dialogue_xubo_default_002,dialogue,镇子能不能往上走，看的是今天有没有人肯把活做完。,许伯默认语
dialogue_zhang_default_001,dialogue,工具不顺手，活就先输一半。,张铁山默认语
dialogue_zhang_default_002,dialogue,炉火能不能稳，先看人心浮不浮。,张铁山默认语
dialogue_baizhi_default_001,dialogue,药不怕慢，怕的是差一味、差一线。,白芷默认语
dialogue_baizhi_default_002,dialogue,身体不是石头，别拿它硬熬。,白芷默认语
dialogue_lu_default_001,dialogue,故事好听，往往因为里头藏了真东西。,陆三笑默认语
dialogue_lu_default_002,dialogue,天时不止长庄稼，也长人的念头。,陆三笑默认语
dialogue_hu_default_001,dialogue,生意人怕的不是路远，是货走到头、人没留住。,胡四海默认语
dialogue_hu_default_002,dialogue,同样一件货，卖给谁，可差着一半天。,胡四海默认语
dialogue_atan_default_001,dialogue,地方不怕旧，怕的是没人愿意把它收拾成家。,阿檀默认语
dialogue_atan_default_002,dialogue,住得顺手，活才做得长久。,阿檀默认语
dialogue_qinghe_default_001,dialogue,水走得急的时候，你越追，它越散。,青禾默认语
dialogue_qinghe_default_002,dialogue,顺着水性走，很多事就不用硬拗。,青禾默认语
dialogue_qinghe_favor_1_001,dialogue,这渠一活，池塘那边的灵鱼多半也要回来了。你哪天得空，我带你去认水口，别把它们一网惊散了。,青禾一心
dialogue_qinghe_quest_0205_001,dialogue,看见没？先别贪多，这一尾就够你认水性了。等池水稳住，它们自己还会回来。,青禾池塘支线
dialogue_shen_default_001,dialogue,站稳，比出手快更重要。,沈孤灯默认语
dialogue_shen_default_002,dialogue,会回来的人，才有资格走得更深。,沈孤灯默认语
dialogue_xubo_favor_2_001,dialogue,桥一断，后山的矿、镇上的买卖、人心里的那股劲，也跟着断了。,许伯二心
dialogue_xubo_favor_4_001,dialogue,你不是外来人了。镇上真遇事时，先往前站的是你。,许伯四心
dialogue_zhang_favor_3_001,dialogue,这张风炉图纸你拿着。给会做事的人，不算糟蹋。,张铁山三星奖励
dialogue_baizhi_favor_2_001,dialogue,我要的是铁皮石斛，不只是要有，还得稳、得净、得有足够灵性。,白芷二心
dialogue_xubo_favor_5_001,dialogue,镇上人手、木料、口粮，我都给你集齐了。你只管做该做的，后头的人我来稳。,许伯五心
dialogue_zhang_favor_5_001,dialogue,阵骨我给你起炉。打完这一套，我这辈子也算没白抡锤。,张铁山五心
dialogue_baizhi_favor_4_001,dialogue,我以前也救过一个人。药、针、阵，全都用上了，最后还是慢了一步。,白芷四心
dialogue_baizhi_favor_5_001,dialogue,阵外再乱，这边我先替你守住。人、精怪、镇民，只要还有一口气，我就不让它断。,白芷五心
dialogue_lu_favor_2_001,dialogue,逢谷雨卖茶，逢白露卖露点心。天时不光长庄稼，也长银子。,陆三笑二心
dialogue_lu_favor_4_001,dialogue,这碑我看了很多年，一直没带别人来。你是第一个。,陆三笑四心
dialogue_hu_favor_3_001,dialogue,这张样品单做成了，后头的大单子，我就敢替你往外撬一层。,胡四海三星
dialogue_hu_favor_5_001,dialogue,你要的料我带回来了。路上亏了、赔了、还差点把驮兽搭进去。可值。,胡四海五心
dialogue_atan_favor_4_001,dialogue,住处不是花边，是底子。底子松了，赚再多都守不住。,阿檀四心
dialogue_atan_favor_5_001,dialogue,阵台外构我来搭。等这一仗过了，这儿就不只是个工地了。,阿檀五心
dialogue_qinghe_favor_2_001,dialogue,这段渠堵的不是泥，是旧根。你要是硬挖，整条边坡都会塌。,青禾二心
dialogue_qinghe_favor_3_001,dialogue,水生田和旱地不一样，水位高一寸低一寸，收成都会变。你先学会看池水，再学着让它听话。,青禾三心
dialogue_qinghe_favor_4_001,dialogue,我越来越确定，洞天灵泉和镇外旧河是一口水分出来的。,青禾四心
dialogue_qinghe_favor_5_001,dialogue,阵脚的水已经活了，只差你把它们接成一口气。,青禾五心
dialogue_qinghe_lotus_basin_return_001,dialogue,莲泽水航第一船返得稳。往后这水就不算临时借路，是你铺子自己养出来的路。,莲泽水航返货
dialogue_qinghe_lotus_basin_return_002,dialogue,旧铺的水鲜能走到莲泽，再把新鲜东西带回来，听着就像真的活了。,莲泽水航返货
dialogue_qinghe_lotus_basin_return_003,dialogue,我会替你记下潮口和熟路。下次船队带着荷露糖水出门，莲泽那边会认得这块招牌。,莲泽水航返货
dialogue_shen_favor_4_001,dialogue,我以前带过几个人下秘境。出来时，只剩我一个。,沈孤灯四心
dialogue_shen_favor_5_001,dialogue,最深那段我跟你走。你负责把事做成，我负责不让你倒在路上。,沈孤灯五心
dialogue_main_0403_001,dialogue,镇上能挪的人手、能凑的木料，我都带来了。你别回头看，后头有人。,终章支援许伯
dialogue_main_0403_002,dialogue,阵骨我给你打好了。再大的力，从我这儿过，也得服帖。,终章支援张铁山
dialogue_main_0403_003,dialogue,药阵已经铺开。你们谁倒下，我尽量都接得住。,终章支援白芷
dialogue_main_0403_004,dialogue,阵纹我来校时。二十四节，一节都不能错。,终章支援陆三笑
dialogue_main_0403_005,dialogue,外路能买到的稀料，我全给你背回来了。赔本就赔本，这回算我愿意。,终章支援胡四海
dialogue_main_0403_006,dialogue,外构和支架交给我。再破的地方，我都能给它搭出样子。,终章支援阿檀
dialogue_main_0403_007,dialogue,水脉已经引到阵脚，只差你最后把它们接起来。,终章支援青禾
dialogue_main_0403_008,dialogue,下螟巢那段，我陪你走。最险的路，不该让你一个人去。,终章支援沈孤灯
dialogue_main_0403_009,dialogue,我原以为这是我一个人的洞天。到今天才知道，它早就不只是我的了。,终章支援玩家
dialogue_main_0403_010,dialogue,去吧。把最后那口气，给这片地接回来。,终章支援收束
guide_main_0001_001,guide,先试着走几步。人只要还走得动，就还没到认输的时候。,新手移动
guide_main_0001_002,guide,靠近旧戒并互动，看看这件破东西到底想把你带到哪去。,新手交互
guide_main_0002_001,guide,清理草庐前的杂物，给自己腾出一块能落脚的地方。,清理教学
guide_main_0002_002,guide,打开背包看看，你现在的家底可经不起乱花。,背包教学
guide_main_0002_003,guide,把锄头装备上，先从地里把活干出来。,装备教学
guide_main_0003_001,guide,把白萝卜种下去。洞天再破，只要地还能种，就有翻身的可能。,播种教学
guide_main_0003_002,guide,去井边打水。灵田吃水，也吃你今天肯不肯多跑这几步。,取水教学
guide_main_0003_003,guide,给作物浇水，明天它才会记得回应你。,浇水教学
guide_main_0004_001,guide,打开地图，去凡仙镇看看。光守着地，日子是做不大的。,地图教学
guide_main_0004_002,guide,前往凡仙镇主街，认识这里的人，也让这里开始认识你。,进镇教学
guide_main_0005_001,guide,打开精怪面板。它不是作物了，是愿意跟着你干活的伙计。,精怪页教学
guide_main_0005_002,guide,给第一只精怪安排工作，让它替你分担最累的那一部分。,岗位教学
guide_main_0101_001,guide,惊蛰已到。节气不是摆设，天时现在真的会来找你麻烦。,节气面板教学
guide_main_0101_002,guide,清除害虫，保住田地。守住这一轮，你才有资格谈后面的收成。,虫害教学
guide_main_0201_001,guide,把至少三类商品摆上货架。掌柜不只是有货，更要会摆货。,上架教学
guide_main_0201_002,guide,开始营业。今天卖出去的，不只是货，也是你的招牌。,开业教学
term_name_lichun,term,立春,二十四节气
term_name_jingzhe,term,惊蛰,二十四节气
term_name_guyu,term,谷雨,二十四节气
term_name_dashu,term,大暑,二十四节气
term_name_bailu,term,白露,二十四节气
term_name_shuangjiang,term,霜降,二十四节气
term_name_dongzhi,term,冬至,二十四节气
weather_name_clear,weather,晴朗,天气
weather_name_cloudy,weather,多云,天气
weather_name_light_rain,weather,小雨,天气
weather_name_heavy_rain,weather,大雨,天气
weather_name_mist,weather,薄雾,天气
weather_name_hot_wind,weather,热风,天气
weather_name_dry_heat,weather,干热,天气
weather_name_dew,weather,晨露,天气
weather_name_cold_wind,weather,寒风,天气
weather_name_frost,weather,霜冻,天气
weather_name_light_snow,weather,小雪,天气
weather_name_heavy_snow,weather,大雪,天气
weather_name_extreme_cold,weather,极寒,天气
boss_name_liejia_muwei,boss,裂甲木卫,第一章 Boss
boss_name_shixiang_tengmu,boss,噬香藤母,第二章 Boss
boss_name_chiyan_xiehou,boss,赤魇蝎后,第三章 Boss
boss_name_shiling_mingmu,boss,噬灵螟母,终章 Boss
boss_skill_name_muwei_slam,skill,地裂重锤,木卫技能
boss_skill_name_muwei_vine,skill,地根缠裂,木卫技能
boss_skill_name_muwei_core,skill,护芯木甲,木卫技能
boss_skill_name_muwei_charge,skill,裂甲冲阵,木卫技能
boss_skill_name_tengmu_spore,skill,毒孢漫谷,藤母技能
boss_skill_name_tengmu_grab,skill,缠藤夺身,藤母技能
boss_skill_name_tengmu_blossom,skill,腐香绽放,藤母技能
boss_skill_name_tengmu_sap,skill,吸髓苦露,藤母技能
boss_skill_name_xiehou_tail,skill,灼尾横扫,蝎后技能
boss_skill_name_xiehou_sand,skill,焚砂喷针,蝎后技能
boss_skill_name_xiehou_ring,skill,炎壳火环,蝎后技能
boss_skill_name_xiehou_dive,skill,遁砂突袭,蝎后技能
boss_skill_name_xiehou_frenzy,skill,赤魇狂化,蝎后技能
boss_skill_name_xiehou_rain,skill,流火天坠,蝎后技能
boss_skill_name_mingmu_drain,skill,噬灵锥潮,螟母技能
boss_skill_name_mingmu_swarm,skill,螟群孵潮,螟母技能
boss_skill_name_mingmu_pulse,skill,蚀脉震冲,螟母技能
boss_skill_name_mingmu_corrupt,skill,腐地蔓延,螟母技能
boss_skill_name_mingmu_devour,skill,吞命噬核,螟母技能
boss_skill_name_mingmu_darkfall,skill,黯雨坠壳,螟母技能
boss_skill_name_mingmu_last,skill,末巢绝鸣,螟母技能
npc_bark_villager_morning_01,bark,今早的风比前阵子软些，田里总算像能喘口气了。,镇民早晨语
npc_bark_villager_morning_02,bark,听说你那洞天里的菜长得比镇外快，难怪最近大家都盯着你家铺子。,镇民早晨语
npc_bark_villager_shop_01,bark,掌柜，今天有新鲜点的菜没有？家里孩子正长身体呢。,镇民进店
npc_bark_villager_shop_02,bark,这价钱公道，回头我再带街坊来看看。,镇民购买
npc_bark_rogue_shop_01,bark,要是有补气和止血的，先给我瞧瞧，外头跑一趟不容易。,散修进店
npc_bark_rogue_shop_02,bark,这东西实在，不花哨，正合我们这种常在路上的人。,散修购买
npc_bark_healer_shop_01,bark,叶色和根须都不错，我看看你这批药材净不净。,医修进店
npc_bark_healer_shop_02,bark,收得这样干净，回去配药能省我不少事。,医修购买
npc_bark_crafter_shop_01,bark,有木料、布卷、灵油这类耐用货吗？我做活最怕材料拖后腿。,匠师进店
npc_bark_crafter_shop_02,bark,这批货做工扎实，掌柜，你是懂行的。,匠师购买
npc_bark_trader_shop_01,bark,我先不急着买，得先看看你这铺子的货路和品相稳不稳。,商贩进店
npc_bark_trader_shop_02,bark,成，这批我能往外带，路上转手也有赚头。,商贩购买
npc_bark_guest_shop_01,bark,这地方倒雅致，若再有几样精巧的礼盒，就更像样了。,贵客进店
